Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Monday,29/07/2019,C,3,female,_.Pin,6,1,HA_C2,Control,a7549,NA,741.695,4.12981,6.73238,15120.9,8.00E-02,0.079998,12.2397,149.676,3.9199,3.67991,2.31994,5.11987,0.959976,1.99995,165.036,10.3997,4.47989,179.916,139.757
Aggression,Monday,29/07/2019,D,4,female,Ora.Ora,6,1,HA_C2,Control,a7486,NA,1657.59,9.20906,13.1096,29496.5,8.00E-02,0.079998,29.4393,53.9187,18.2395,22.8794,14.7996,22.7194,2.55994,15.4396,98.4775,53.6787,27.8393,179.995,173.596
Aggression,Monday,29/07/2019,F,6,female,Bla._,6,2,HA_C2,Control,a6798,NA,1210.57,6.72554,6.41674,14437.7,-,0,25.6794,138.317,1.35997,1.35997,5.27987,4.55989,1.75996,1.67996,167.276,4.39989,8.31979,179.995,154.316
Aggression,Monday,29/07/2019,H,8,male,Gre.Gre,6,2,HA_C2,Control,a7688,NA,1219.29,6.77402,8.76316,19717.1,8.00E-02,0.079998,20.9595,114.317,7.03982,8.1598,8.31979,9.91975,5.03987,6.23984,141.996,20.8795,17.1196,179.995,158.876
Aggression,Monday,29/07/2019,B,2,male,Red.Bro,7,1,HA_C2,Control,a7474,NA,737.413,4.09684,5.15584,11600.6,0.879978,3.51991,29.1193,148.556,0.39999,0.239994,0,1.67996,0,0,178.876,1.11997,0,179.995,139.597
Aggression,Monday,29/07/2019,C,3,male,Whi.Yel,7,1,HA_C2,Control,a7370,NA,1645.67,9.14286,11.8489,26660,-,0,18.2395,92.9577,7.59981,8.55979,16.9596,8.87978,16.8796,9.91975,116.957,21.9994,41.039,179.995,172.556
Aggression,Monday,29/07/2019,D,4,female,Pin.Bro,7,1,HA_C2,Control,a7284,NA,234.117,1.30068,7.75899,17457.7,18.0224,126.157,97.5176,79.198,0.559986,0.559986,0,1.11997,0,1.03997,177.436,1.67996,0.879978,179.995,29.5193
Aggression,Monday,29/07/2019,F,6,male,Blu.Blu,7,2,HA_C2,Control,a7006,NA,1353.35,7.51878,21.7242,48879.5,0.39999,0.39999,11.9997,34.8791,13.4397,10.0797,44.6389,10.8797,36.6391,17.4396,54.2386,31.4392,94.3176,179.995,152.556
Aggression,Monday,29/07/2019,H,8,male,Pur.Blu,7,2,HA_C2,Control,a7163,NA,996.722,5.53748,16.5396,37214.1,-,0,16.4796,74.3981,5.59986,6.71983,25.1194,8.39979,36.5591,6.71983,96.7976,17.0396,66.1583,179.995,161.356
Aggression,Monday,29/07/2019,B,2,male,Ora.Pin,8,1,HA_C2,Control,a7408,NA,1349.87,7.49949,10.7768,24247.8,8.00E-02,0.159996,19.4395,105.277,7.35982,5.99985,18.6395,8.1598,5.11987,9.99975,130.557,19.0395,30.3992,179.995,167.916
Aggression,Monday,29/07/2019,C,3,female,Blu.Ora,8,1,HA_C2,Control,a7204,NA,411.229,2.28466,4.83846,10886.5,0.664599,8.63978,3.9199,176.076,0,0,0,0,0,0,179.995,0,0,179.995,95.3576
